,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Kyrgyzstan","Data source","All types","1.69","3.31","2.64","2.53","1.66","2.98","2.00","4.25","4.66","4.53","4.29","3.51","3.01","3.42","7.08","","","","",""
"Lao People's Democratic Republic","Data source","All types","5.32","5.20","5.17","5.08","4.98","5.00","4.81","4.77","4.79","4.84","7.51","4.71","4.60","4.93","4.81","4.67","4.65","4.62","4.56","4.20"
"Latvia","Data source","All types","8.84","8.94","8.36","8.37","9.08","9.59","7.95","6.88","6.74","6.72","7.51","6.27","5.75","7.79","10.85","12.35","12.33","12.43","12.79","13.03"
"Lebanon","Data source","All types","1.50","1.59","2.08","1.42","2.38","2.45","2.37","2.09","2.60","1.63","3.94","4.04","3.81","4.12","3.74","3.47","3.29","3.37","3.31","3.11"
"Lesotho","Data source","All types","2.08","1.92","2.03","2.14","2.26","2.48","2.41","2.00","2.03","2.48","2.02","2.19","2.10","2.35","2.55","3.30","3.56","2.25","3.33","3.41"
"Liberia","Data source","All types","3.85","4.15","4.53","4.64","5.17","5.16","4.97","4.96","4.66","4.55","5.62","5.52","4.88","4.43","3.99","3.62","3.28","3.42","3.72","3.99"
"Libya","Data source","All types","0.02","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lithuania","Data source","All types","6.75","6.35","7.34","7.13","6.09","3.62","3.88","3.97","8.03","7.05","8.14","7.11","6.22","8.04","11.56","13.01","","","",""
"Luxembourg","Data source","All types","12.92","12.88","13.03","13.31","13.61","13.61","13.74","14.18","14.26","15.03","15.21","15.11","15.23","15.30","15.74","15.90","16.61","16.84","17.04","17.57"
"Madagascar","Data source","All types","1.21","1.06","1.01","1.29","1.24","1.26","1.14","1.30","1.26","1.52","1.38","1.31","1.33","1.40","1.29","1.18","1.44","1.33","1.61","1.55"
