,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Mexico","Data source","All types","4.25","4.25","4.25","4.24","3.94","3.81","3.86","4.00","4.05"
"Micronesia (Federated States of)","Data source","All types","1.59","1.59","1.59","1.59","1.59","1.67","2.98","1.91","1.78"
"Mongolia","Data source","All types","5.77","6.24","6.90","8.40","9.93","12.64","7.55","6.66","7.74"
"Montenegro","Data source","All types","9.29","9.18","8.97","8.34","8.44","9.51","9.25","8.91","9.83"
"Morocco","Data source","All types","0.43","0.43","0.40","0.39","0.41","0.45","0.46","0.46","0.47"
"Mozambique","Data source","All types","1.24","1.24","1.25","1.22","1.06","0.99","0.99","0.93","0.84"
"Myanmar","Data source","All types","1.78","1.75","1.60","1.46","1.36","1.31","1.24","1.09","0.97"
"Namibia","Data source","All types","4.30","4.45","4.33","4.17","3.98","3.71","3.52","1.50","1.33"
"Nauru","Data source","All types","2.17","2.17","2.17","2.17","2.17","2.17","3.20","3.98","4.25"
"Nepal","Data source","All types","0.32","0.32","0.29","0.28","0.28","0.27","0.25","0.24","0.23"
"Netherlands","Data source","All types","8.34","8.34","8.30","8.30","8.39","8.58","9.06","9.00","9.07"
"New Zealand","Data source","All types","9.12","9.06","9.02","8.68","8.98","9.12","9.17","9.45","9.62"
"Nicaragua","Data source","All types","3.81","3.89","3.81","3.73","3.55","3.56","3.61","3.36","3.35"
"Niger","Data source","All types","0.13","0.13","0.13","0.13","0.13","0.10","0.16","0.13","0.11"
"Nigeria","Data source","All types","7.79","7.79","7.82","7.83","8.05","9.71","9.98","10.22","10.40"
"Niue","Data source","All types","9.11","9.11","9.22","8.80","8.39","8.61","9.73","7.41","5.01"
"Norway","Data source","All types","6.02","6.00","6.03","5.97","6.06","6.21","6.21","6.44","6.59"
"Oman","Data source","All types","0.40","0.40","0.40","0.42","0.43","0.45","0.49","0.50","0.51"
"Pakistan","Data source","All types","0.05","0.05","0.05","0.04","0.04","0.05","0.03","0.04","0.04"
"Panama","Data source","All types","6.92","6.89","6.70","6.92","6.34","6.26","6.25","6.22","6.16"
"Papua New Guinea","Data source","All types","0.80","0.80","0.80","0.75","0.76","0.82","0.97","0.84","0.75"
"Paraguay","Data source","All types","6.02","6.00","5.85","5.62","5.86","5.64","5.81","6.15","6.29"
"Peru","Data source","All types","5.30","5.30","5.31","5.30","5.26","5.12","5.21","5.09","5.13"
"Philippines","Data source","All types","4.83","4.75","4.53","4.52","4.62","4.63","4.98","4.86","4.74"
"Poland","Data source","All types","10.62","10.53","10.43","10.47","10.45","10.80","10.21","10.24","10.07"
"Portugal","Data source","All types","10.37","10.37","10.37","10.34","10.20","9.52","9.76","10.86","11.26"
"Qatar","Data source","All types","1.02","1.04","1.04","1.07","1.05","1.07","1.07","1.10","1.11"
"Republic of Korea","Data source","All types","8.65","8.65","8.69","9.09","8.94","8.77","8.98","8.86","8.90"
"Republic of Moldova","Data source","All types","7.45","7.45","7.22","6.76","7.40","8.48","8.30","8.21","6.92"
"North Macedonia","Data source","All types","3.80","3.77","3.63","3.57","3.56","3.61","3.54","3.53","3.53"
"Romania","Data source","All types","10.14","10.14","9.57","9.45","9.48","9.65","9.66","9.58","10.01"
"Russian Federation","Data source","All types","7.69","7.24","8.20","8.36","9.25","10.17","10.86","10.92","10.95"
"Rwanda","Data source","All types","6.99","6.99","7.09","7.05","7.12","6.86","7.08","7.27","7.65"
"Saint Kitts and Nevis","Data source","All types","8.44","8.44","8.48","8.30","8.42","8.32","8.36","8.44","8.45"
"Saint Lucia","Data source","All types","10.43","10.35","10.18","9.73","9.61","9.47","9.91","10.36","10.59"
"Saint Vincent and the Grenadines","Data source","All types","8.18","8.12","7.99","7.59","7.35","7.23","7.12","7.23","7.21"
"Samoa","Data source","All types","1.97","1.97","2.18","1.97","2.00","1.90","2.19","2.15","3.00"
"Sao Tome and Principe","Data source","All types","3.88","3.88","5.05","4.80","5.34","4.73","4.89","5.96","5.86"
"Saudi Arabia","Data source","All types","0.07","0.07","0.08","0.08","0.08","0.09","0.09","0.09","0.09"
"Senegal","Data source","All types","0.27","0.30","0.30","0.24","0.25","0.25","0.27","0.31","0.28"
"Serbia","Data source","All types","7.35","7.32","7.21","7.09","7.06","7.78","8.60","8.36","8.64"
"Seychelles","Data source","All types","20.05","20.24","20.18","17.60","16.13","15.64","14.72","13.56","11.13"
"Sierra Leone","Data source","All types","3.43","3.43","3.49","3.41","3.39","3.17","3.49","3.75","3.74"
"Singapore","Data source","All types","1.85","1.80","1.84","1.82","1.84","1.86","1.94","1.89","1.84"
"Slovakia","Data source","All types","10.16","10.16","9.92","10.74","10.62","10.49","10.62","10.74","10.51"
"Slovenia","Data source","All types","9.99","10.12","10.51","11.49","10.92","9.53","10.95","10.61","10.33"
"Solomon Islands","Data source","All types","1.25","1.25","1.28","0.98","0.94","0.97","1.00","1.05","1.09"
"Somalia","Data source","All types","0","0","0","0","0.01","0.01","0","0.00","0.00"
"South Africa","Data source","All types","7.26","7.34","7.30","7.33","7.39","7.35","7.37","7.31","7.25"
"Spain","Data source","All types","10.43","10.84","10.80","10.35","7.67","8.39","8.44","8.58","8.79"
"Sri Lanka","Data source","All types","2.58","2.58","2.65","2.72","2.45","2.65","2.89","3.03","2.31"
"Sudan","Data source","All types","0.01","0.01","0.01","0.02","0.03","0.06","0.00","0.46",""
"Suriname","Data source","All types","4.47","4.45","4.41","4.76","5.41","5.88","5.74","5.62","5.26"
"Sweden","Data source","All types","7.20","7.04","7.15","7.13","7.20","7.32","7.23","7.31","7.38"
"Switzerland","Data source","All types","9.51","9.51","9.51","9.62","9.62","9.74","9.87","9.99","10.01"
"Syrian Arab Republic","Data source","All types","0.16","0.12","0.18","0.24","0.20","0.15","0.22","0.61","0.77"
"Tajikistan","Data source","All types","0.84","0.86","0.86","0.90","0.81","0.78","0.76","0.69","0.67"
"Thailand","Data source","All types","6.57","6.57","6.57","6.57","6.90","6.79","7.09","7.14","6.70"
"Timor-Leste","Data source","All types","0.48","0.48","0.49","0.49","0.52","0.48","0.49","0.46","0.10"
"Togo","Data source","All types","1.31","1.33","1.26","1.33","1.24","1.20","1.15","1.14","1.26"
"Tonga","Data source","All types","0.33","0.33","0.28","0.29","0.37","0.32","0.26","0.96","1.24"
"Trinidad and Tobago","Data source","All types","5.91","5.82","5.91","6.14","6.13","6.03","6.05","5.93","5.92"
"Tunisia","Data source","All types","1.60","1.56","1.53","1.49","1.48","1.39","1.35","1.26","1.26"
"Turkey","Data source","All types","1.43","1.38","1.38","1.43","1.50","1.46","1.60","1.59","1.56"
"Turkmenistan","Data source","All types","3.08","3.17","3.32","3.36","3.24","3.18","3.00","2.88","2.90"
"Tuvalu","Data source","All types","0.90","0.90","0.96","1.38","1.76","1.52","1.79","1.27","0.97"
"Uganda","Data source","All types","12.20","12.19","12.10","12.13","12.52","7.72","8.39","11.71","11.50"
"Ukraine","Data source","All types","5.15","5.15","5.74","6.06","7.60","8.74","8.55","8.75","7.77"
"United Arab Emirates","Data source","All types","2.12","2.16","2.17","2.14","2.02","1.90","1.83","1.81","1.75"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","10.01","9.88","9.69","9.59","9.45","9.42","9.53","9.80","10.01"
"United Republic of Tanzania","Data source","All types","7.31","7.31","7.41","7.39","6.98","6.30","5.84","6.71","6.59"
"United States of America","Data source","All types","8.82","8.82","8.86","8.78","8.78","8.81","8.85","8.66","8.56"
"Uruguay","Data source","All types","6.20","5.75","5.53","6.00","6.14","6.42","6.55","6.02","5.99"
"Uzbekistan","Data source","All types","1.57","1.57","1.59","1.59","1.48","1.52","1.43","1.68","1.69"
"Vanuatu","Data source","All types","1.57","1.57","1.58","1.47","1.48","1.59","1.79","1.65","1.18"
"Venezuela (Bolivarian Republic of)","Data source","All types","2.84","3.13","3.99","6.12","6.52","6.80","6.77","6.82","7.35"
"Viet Nam","Data source","All types","3.22","3.23","3.13","2.95","2.76","2.67","2.56","2.44","2.24"
"Yemen","Data source","All types","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.05"
"Zambia","Data source","All types","3.95","3.95","3.85","3.85","4.66","2.78","3.51","3.49","3.59"
"Zimbabwe","Data source","All types","3.46","3.46","3.46","3.51","4.06","4.01","3.76","3.80","3.25"
